week,Tiktok(en)
2016-06-05,0
2016-06-12,3
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,3
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,3
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,6
2018-03-04,3
2018-03-11,0
2018-03-18,3
2018-03-25,3
2018-04-01,3
2018-04-08,3
2018-04-15,3
2018-04-22,3
2018-04-29,0
2018-05-06,0
2018-05-13,3
2018-05-20,3
2018-05-27,6
2018-06-03,0
2018-06-10,3
2018-06-17,6
2018-06-24,8
2018-07-01,3
2018-07-08,3
2018-07-15,0
2018-07-22,5
2018-07-29,3
2018-08-05,0
2018-08-12,8
2018-08-19,5
2018-08-26,3
2018-09-02,3
2018-09-09,3
2018-09-16,14
2018-09-23,6
2018-09-30,0
2018-10-07,9
2018-10-14,3
2018-10-21,3
2018-10-28,6
2018-11-04,6
2018-11-11,11
2018-11-18,8
2018-11-25,9
2018-12-02,3
2018-12-09,6
2018-12-16,6
2018-12-23,9
2018-12-30,12
2019-01-06,6
2019-01-13,6
2019-01-20,6
2019-01-27,3
2019-02-03,0
2019-02-10,0
2019-02-17,11
2019-02-24,14
2019-03-03,6
2019-03-10,11
2019-03-17,3
2019-03-24,8
2019-03-31,17
2019-04-07,25
2019-04-14,14
2019-04-21,0
2019-04-28,14
2019-05-05,6
2019-05-12,11
2019-05-19,11
2019-05-26,5
2019-06-02,8
2019-06-09,13
2019-06-16,5
2019-06-23,30
2019-06-30,16
2019-07-07,11
2019-07-14,14
2019-07-21,12
2019-07-28,29
2019-08-04,14
2019-08-11,16
2019-08-18,8
2019-08-25,29
2019-09-01,100
2019-09-08,96
2019-09-15,70
2019-09-22,46
2019-09-29,15
2019-10-06,13
2019-10-13,8
2019-10-20,18
2019-10-27,21
2019-11-03,8
2019-11-10,5
2019-11-17,10
2019-11-24,20
2019-12-01,20
2019-12-08,15
2019-12-15,5
2019-12-22,15
2019-12-29,10
2020-01-05,14
2020-01-12,16
2020-01-19,32
2020-01-26,24
2020-02-02,16
2020-02-09,24
2020-02-16,21
2020-02-23,18
2020-03-01,16
2020-03-08,24
2020-03-15,32
2020-03-22,33
2020-03-29,37
2020-04-05,36
2020-04-12,32
2020-04-19,53
2020-04-26,41
2020-05-03,48
2020-05-10,42
2020-05-17,48
2020-05-24,36
2020-05-31,41
2020-06-07,50
2020-06-14,43
2020-06-21,60
2020-06-28,43
2020-07-05,63
2020-07-12,47
2020-07-19,52
2020-07-26,82
2020-08-02,90
2020-08-09,62
2020-08-16,43
2020-08-23,76
2020-08-30,84
2020-09-06,67
2020-09-13,69
2020-09-20,76
2020-09-27,63
2020-10-04,42
2020-10-11,53
2020-10-18,26
2020-10-25,50
2020-11-01,35
2020-11-08,58
2020-11-15,38
2020-11-22,58
2020-11-29,45
2020-12-06,63
2020-12-13,59
2020-12-20,42
2020-12-27,81
2021-01-03,70
2021-01-10,52
2021-01-17,50
2021-01-24,87
2021-01-31,79
2021-02-07,78
2021-02-14,71
2021-02-21,83
2021-02-28,58
2021-03-07,63
2021-03-14,48
2021-03-21,74
2021-03-28,57
2021-04-04,57
2021-04-11,62
2021-04-18,66
2021-04-25,91
2021-05-02,73
2021-05-09,83
2021-05-16,90
2021-05-23,93
